SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V
76.48,0.22,12.73,1.13,0.05,0.31,0.85,3.54,4.65,0.05,40.1,55.9,5.42,15.3,1.96,0.28,2.06,0.24,1.61,0.38,1.18,0.2,1.53,0.28,80.7,9.28,394,140,4.32,24.1,3.21,33.2,17.6,37.2,102,3.98,12.7,0.83,1.09,8.18,4.32112069,2.596982759,35.1758794,15.75163399,8.69612069,18.79981247,36.53594771,10.99137931,20.45918367,1.052287582,1.281045752,52.04081633,4.88228005,10,0.064814815,6.023706897,1.648706897,21.69934641,1.346405229,11.02362205,9.642857143,3.577586207,0.208542714,0.273869347,0.065354331,0.085826772
77.28,0.19,12.44,0.99,0.05,0.28,0.89,3.5,4.33,0.05,37.05,72.3,6.6,21.2,2.92,0.42,2.02,0.27,1.76,0.44,1.34,0.24,1.78,0.33,101,12.2,647,158,5,27.2,3.55,45.8,26.3,47.9,132,4.19,16.6,2.26,2.87,7.83,3.036885246,2.229508197,37.70883055,15.28089888,8.278688525,14.93030863,40.61797753,10.81967213,12.68835616,0.988764045,1.640449438,45.20547945,6.405940594,11.91011236,0.066,5.926229508,1.737704918,25.73033708,1.134831461,9.518072289,8.806818182,3.754098361,0.539379475,0.6849642,0.136144578,0.172891566
71.1,0.43,14.59,2.15,0.06,0.95,1.94,3.27,5.39,0.12,75.1,116,11,36.3,5.56,0.8,4.23,0.48,2.9,0.6,1.78,0.27,1.73,0.28,241,15.2,345,440,5.27,17.4,2.48,44,3.9,31,163.2,4.78,38.7,5.7,11.4,8.66,4.940789474,1.144736842,92.05020921,10.05780347,15.85526316,31.13826492,67.05202312,10.73684211,13.50719424,1.676300578,3.213872832,29.35251799,1.43153527,20.98265896,0.05313093,7.631578947,2.388157895,25.43352601,2.445086705,11.36950904,4.463541667,2.894736842,1.192468619,2.384937238,0.147286822,0.294573643
63.87,0.63,14.97,3.37,0.05,1.74,3.11,3.88,8.14,0.24,38.24,74.55,8.78,32.21,5.55,1.37,3.86,0.54,2.59,0.46,1.18,0.17,1.1,0.17,724.35,13.14,135.15,1062.54,1.74,7.94,0.58,17.52,1.91,34.71,44.04,7.22,70.31,11.14,24.56,12.03,2.910197869,0.604261796,147.166205,7.218181818,55.12557078,24.9359417,67.77272727,3.351598174,6.89009009,2.354545455,5.045454545,7.935135135,0.186581073,29.28181818,0.097701149,5.673515982,2.45129376,15.92727273,3.509090909,15.11221732,3.87012987,1.333333333,1.542936288,3.40166205,0.158441189,0.349310198
67.29,0.61,16.01,3.08,0.06,1.63,2.69,4.26,4.13,0.25,51.98,93.95,10.41,36.37,5.68,1.38,3.78,0.49,2.22,0.43,1.11,0.15,0.83,0.13,807.82,10.88,137.08,1255.01,1.93,7.8,0.58,19.29,2.33,51.26,48.86,5.77,64.09,9.49,21.04,8.38,4.777573529,0.716911765,217.5060659,9.397590361,74.24816176,44.92196635,113.1927711,4.490808824,9.151408451,2.674698795,6.843373494,8.602112676,0.169691268,43.81927711,0.067357513,8.635110294,3.342830882,23.24096386,4.554216867,19.58199407,3.114068441,1.772977941,1.644714038,3.64644714,0.148073022,0.328288345
56.44,1.57,11.52,6.37,0.09,10.24,5.08,1.97,6.59,0.14,26.05,86.04,16.11,80.11,19.07,3.46,10.07,1.04,4.08,0.59,1.48,0.19,1.18,0.17,1152.4,14.7,381.3,3737.1,20.7,32.2,1.9,201.7,33.8,103,685.5,21.9,154.7,305,728.9,8.55,1.772108844,2.19047619,170.6438356,27.28813559,78.39455782,15.83530001,72.91525424,46.63265306,1.366019927,3.457627119,16.16101695,35.94651285,0.330874696,67.88983051,0.00821256,5.853061224,5.449659864,170.9322034,8.533898305,24.15707822,1.684630739,13.72108844,13.92694064,33.28310502,1.971557854,4.711700065
55.81,1.55,11.66,6.6,0.09,10.42,5.21,1.61,6.86,0.19,34.79,111.3,20.12,100.8,22.7,3.94,12.03,1.23,4.82,0.71,1.8,0.21,1.36,0.2,1165.7,17.4,327.1,3660.7,20,31,1.8,200.8,32.5,105.7,660.7,21,143.1,310.2,677.4,8.47,1.999425287,1.781609195,174.3190476,22.79411765,66.99425287,18.34915612,81.83823529,37.97126437,1.532599119,3.544117647,16.69117647,29.10572687,0.280603929,74.11764706,0.01,6.396551724,5.793103448,147.6470588,8.845588235,25.5814116,1.625,11.54022989,14.77142857,32.25714286,2.167714885,4.733752621
56.63,1.56,11.48,5.72,0.08,10.39,4.07,1.4,8.42,0.24,36.82,107.8,18.47,94.41,19.82,3.02,10.49,1.05,3.8,0.57,1.38,0.16,1.11,0.18,671.5,14.8,662,3994.7,21.5,33.9,1.9,223.3,36.4,65.2,798.8,18.1,132.5,377.3,593.5,9.82,2.487837838,2.290540541,220.7016575,30.54054054,45.37162162,23.79366708,97.11711712,53.97297297,1.857719475,3.423423423,17.85585586,40.30272452,0.985852569,85.05405405,0.008372093,7.283783784,6.379054054,201.1711712,9.45045045,30.14867925,2.4125,15.08783784,20.84530387,32.79005525,2.84754717,4.479245283
57.91,1.55,11.66,5.23,0.07,9.5,3.99,1.4,8.57,0.12,21.39,72.95,13.16,69.87,15.67,2.56,8.6,0.9,3.33,0.51,1.22,0.15,1.04,0.16,564.8,12.8,701.9,4056,22.4,31.9,1.9,218.8,35.1,62.2,752.9,18.2,122.7,336.5,584,9.98,1.67109375,2.4921875,222.8571429,30.67307692,44.125,14.75292113,70.14423077,58.8203125,1.365028717,3.201923077,15.06730769,48.04722399,1.242740793,67.18269231,0.007142857,5.69921875,5.45859375,210.3846154,8.269230769,33.05623472,2.5,17.09375,18.48901099,32.08791209,2.742461288,4.759576202
68.36,0.53,15.91,2.83,0.04,1.61,3.01,4.13,3.37,0.22,30.36,59.93,7.22,27.75,4.74,1.19,3.11,0.36,1.97,0.4,1.1,0.15,0.85,0.14,876.6,10.59,100.9,1034,4.58,6.4,0.51,8.4,1.99,25.57,176.3,5.94,73.05,13.83,26.59,7.5,2.866855524,0.60434372,174.0740741,7.529411765,82.77620397,25.62025316,70.50588235,16.64778093,6.405063291,2.317647059,5.576470588,37.19409283,0.11510381,32.64705882,0.030567686,5.65911237,2.620396601,9.882352941,3.658823529,14.15468857,2.489726027,0.793201133,2.328282828,4.476430976,0.189322382,0.363997262
